recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;huh_name;geo_col;wiki_url;colnum;orig_bc;orig_recby;orig_detby
Poilane;11937;nan;<NA>;11/02/1925 - 11/02/1925;Savannakhét;Laos : Kilo 20 de la route n° 10 près de Savannakhet;P02133081;Laos, République démocratique populaire;Mitrephora;thorelii;0;0;0;0;;;11;2;1925;;;;0;0;0;104.908;16.66;0;0;0;0;0;11937;P02133081;Poilane;<NA>
Poilane;11937;nan;<NA>;11/02/1925 - 11/02/1925;Savannakhét;Laos : Kilo 20 de la route n° 10 près de Savannakhet;P02133082;Laos, République démocratique populaire;Mitrephora;thorelii;0;0;0;0;;;11;2;1925;;;;0;0;0;104.908;16.66;0;0;0;0;0;11937;P02133082;Poilane;<NA>
Poilane;9906;nan;<NA>;05/03/1924 - 05/03/1924;Ninh Thuận;Annam : Ka Rom. pro: Phanrang;P02133083;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;5;3;1924;;;;0;0;0;109.083;11.783;0;0;0;0;0;9906;P02133083;Poilane;<NA>
Poilane;9906;nan;<NA>;05/03/1924 - 05/03/1924;Ninh Thuận;Annam : Ka Rom. pro: Phanrang;P02133084;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;5;3;1924;;;;0;0;0;109.083;11.783;0;0;0;0;0;9906;P02133084;Poilane;<NA>
Godefroy, A;649;nan;<NA>;01/07/1875 - 31/07/1875;Pursat;Pursat, Cambodge.;P02133085;Cambodge;Mitrephora;thorelii;0;0;0;0;;;1;7;1875;;;;0;0;0;103.9178235;12.5377547;0;0;0;0;0;649;P02133085;Godefroy, A.;<NA>
Harmand;270;nan;<NA>;01/01/1876 - 31/01/1876;Preah Vihear;Mulu Prey. Indo-Chine;P02133086;Cambodge;Mitrephora;thorelii;0;0;0;0;;;1;1;1876;;;;0;0;0;105.276;13.8096;0;0;0;0;0;270;P02133086;Harmand;<NA>
Kerr, AFG;4249;nan;<NA>;01/05/1920 - 31/05/1920;;S. Siam;P01986366;Thaïlande;Cananga;latifolia;0;0;0;0;;;1;5;1920;;;;0;0;0;;;0;0;0;0;0;4249;P01986366;Kerr, A.F.G.;<NA>
Bejaud;66;Deroin, T;01/07/1997 - 01/07/1997;12/02/1920 - 12/02/1920;Kampong Thom;Thlo Kandong. Kg Soai. Kg Thom;P01986368;Cambodge;Cananga;latifolia;0;0;0;0;;;12;2;1920;1;7;1997;0;0;0;104.9807;12.958;0;0;0;0;0;66;P01986368;Bejaud;Deroin, T.
Thorel;3458;nan;<NA>;01/01/1866 - 31/12/1868;Louangphabang;Luang-Prabang. Expédition du Mé-Kong.;P01986370;Laos, République démocratique populaire;Cananga;latifolia;0;0;0;0;;;1;1;1866;;;;0;0;0;102.135898;19.8887438;0;0;0;0;0;3458;P01986370;Thorel;<NA>
Thorel;3458;nan;<NA>;01/01/1866 - 31/12/1868;Louangphabang;Luang-Prabang. Expédition du Mé-Kong.;P01986371;Laos, République démocratique populaire;Cananga;latifolia;0;0;0;0;;;1;1;1866;;;;0;0;0;102.135898;19.8887438;0;0;0;0;0;3458;P01986371;Thorel;<NA>
Thorel;3458;nan;<NA>;01/01/1866 - 31/12/1868;Louangphabang;Luang-Prabang. Expédition du Mé-Kong.;P01986372;Laos, République démocratique populaire;Cananga;latifolia;0;0;0;0;;;1;1;1866;;;;0;0;0;102.135898;19.8887438;0;0;0;0;0;3458;P01986372;Thorel;<NA>
Pierre, L;596;nan;<NA>;01/03/1870 - 31/03/1870;Kampong Speu;mont Rancon, prov. Samrong-tong, Cambodge;P01986373;Cambodge;Cananga;latifolia;0;0;0;0;;;1;3;1870;;;;0;0;0;104.5333;11.4666;0;0;0;0;0;596;P01986373;Pierre, L.;<NA>
Pierre, L;596;nan;<NA>;01/06/1870 - 30/06/1870;Kampong Speu;ad montens Knang Repeu prov. Tpong. Cambodiae;P01986374;Cambodge;Cananga;latifolia;0;0;0;0;;;1;6;1870;;;;0;0;0;103.849;11.616;0;0;0;0;0;596;P01986374;Pierre, L.;<NA>
Pierre, L;1767;nan;<NA>;01/01/1865 - 31/12/1877;Đồng Nai;Cochinchina ad Bao chianh in prov. Bien hoa;P01986375;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;1;1865;;;;0;0;0;107.3167;10.9667;0;0;0;0;0;1767;P01986375;Pierre, L.;<NA>
Pierre, L;596;Pierre, L;<NA>;01/07/1877 - 31/07/1877;Đồng Nai;ad Baochang in prov. Bienhoa;P01986376;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;7;1877;;;;0;0;0;107.3167;10.9667;0;0;0;0;0;596;P01986376;Pierre, L.;Pierre, L.
Pierre, L;596 A;nan;<NA>;01/03/1870 - 31/03/1870;Kampong Speu;Mont Rancon, prov. Samrong-tong, Cambodge;P01986377;Cambodge;Cananga;latifolia;0;0;0;0;;A;1;3;1870;;;;0;0;0;104.533;11.467;0;0;0;0;0;596;P01986377;Pierre, L.;<NA>
Pierre, L;596;nan;<NA>;01/06/1870 - 30/06/1870;Kampong Speu;ad montem Knang Repoeu, prov. Tpong, Cambodia;P01986378;Cambodge;Cananga;latifolia;0;0;0;0;;;1;6;1870;;;;0;0;0;103.849;11.616;0;0;0;0;0;596;P01986378;Pierre, L.;<NA>
Pierre, L;1797;nan;<NA>;01/09/1865 - 30/09/1865;Đồng Nai;Gia-lao-me, prov. de Bien-hoa, Coch.;P01986379;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;9;1865;;;;0;0;0;107.3167;10.9667;0;0;0;0;0;1797;P01986379;Pierre, L.;<NA>
Pierre, L;1797;nan;<NA>;01/09/1865 - 30/09/1865;Đồng Nai;ad Gia lau mé in prov Bienhoa;P01986380;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;9;1865;;;;0;0;0;107.3167;10.9667;0;0;0;0;0;1797;P01986380;Pierre, L.;<NA>
Pierre, L;1797;nan;<NA>;01/09/1865 - 30/09/1865;Đồng Nai;ad Gia lau mé in prov Bien hoa. Bao-Chan, prov. Bien-hoa.;P01986381;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;9;1865;;;;0;0;0;107.317;10.967;0;0;0;0;0;1797;P01986381;Pierre, L.;<NA>
Newman, MF;LAO 1178;nan;<NA>;20/05/2006 - 20/05/2006;Khammouan;Lao P.D.R. Province : Khammouan, Muang Bualapha. Altitude : 200 m;P01986382;Laos, République démocratique populaire;Cananga;latifolia;0;0;0;0;LAO;;20;5;2006;;;;0;0;0;105.72194444444445;17.570555555555554;0;0;0;0;0;1178;P01986382;Newman, M.F.;<NA>
Pierre, L;596;Pierre, L;<NA>;01/07/1877 - 31/07/1877;Đồng Nai;Ad Bao Chang in prov. Bien Hoa. Cochinchinae.;P01986383;Viet Nam;Cananga;sp.;0;0;0;0;;;1;7;1877;;;;0;0;0;107.3167;10.9667;0;0;0;0;0;596;P01986383;Pierre, L.;Pierre, L.
Pierre, L;596;Pierre, L;<NA>;01/07/1877 - 31/07/1877;Đồng Nai;ad Bao Chang in prov. Bien Hoa, Cochinchinae;P01986384;Viet Nam;Cananga;sp.;0;0;0;0;;;1;7;1877;;;;0;0;0;107.3167;10.9667;0;0;0;0;0;596;P01986384;Pierre, L.;Pierre, L.
Pierre, L;596;Pierre, L;<NA>;01/07/1877 - 31/07/1877;Đồng Nai;ad Bao Chang in prov. Bien Hoa Cochinchinae.;P01986385;Viet Nam;Cananga;sp.;0;0;0;0;;;1;7;1877;;;;0;0;0;107.3167;10.9667;0;0;0;0;0;596;P01986385;Pierre, L.;Pierre, L.
Pierre, L;596;Kessler, P;09/09/1985 - 09/09/1985;01/06/1866 - 30/06/1866;Tây Ninh;ad  Tay Ninh in Cochinchinâ;P01986386;Viet Nam;Cananga;sp.;0;0;0;0;;;1;6;1866;9;9;1985;0;0;0;106.0964769;11.3138286;0;0;0;0;0;596;P01986386;Pierre, L.;Kessler, P.
Raynal, J;16312;Raynal, J;<NA>;28/08/1971 - 28/08/1971;Sanma;Nouvelles-Hébrides : Santo, moyenne vallée de l'Apouna, 1,5 km en amont du camp 2, alt. 190 m.;P01986387;Vanuatu;Cananga;odorata;0;0;0;0;;;28;8;1971;;;;0;0;0;166.816;-15.258;0;0;0;0;0;16312;P01986387;Raynal, J.;Raynal, J.
Kessler, P;1084;Kessler, P;<NA>;10/04/1995 - 10/04/1995;East Kalimantan;Indonesia, East Kalimantan, Coal mining company KPC, Sangatta. Alt. 20 m. Transmigration road to Rantau Pulung, along Sangatta river.;P01986388;Indonésie;Cananga;odorata;0;0;0;0;;;10;4;1995;;;;0;0;0;117.4;0.5;0;0;0;0;0;1084;P01986388;Kessler, P.;Kessler, P.
Pierre, L;596;Kessler, P;01/11/2003 - 30/11/2003;01/05/1870 - 31/05/1870;Kampong Speu;in montibus prov. Tpong;P01986389;Cambodge;Cananga;latifolia;0;0;0;0;;;1;5;1870;1;11;2003;0;0;0;104.25;11.741;0;0;0;0;0;596;P01986389;Pierre, L.;Kessler, P.
Pierre, L;596;Kessler, P;06/09/1985 - 06/09/1985;01/05/1870 - 31/05/1870;Kampong Speu;in montibus et in planitie prov. Samrongtong et Tpong;P01986390;Cambodge;Cananga;latifolia;0;0;0;0;;;1;5;1870;6;9;1985;0;0;0;;;0;0;0;0;0;596;P01986390;Pierre, L.;Kessler, P.
Martin, MA;266;Martin, MA;<NA>;29/06/1965 - 29/06/1965;Pursat;Roleap. Prov.: Pursat. Cambodge;P01986391;Cambodge;Cananga;latifolia;0;0;0;0;;;29;6;1965;;;;0;0;0;103.917;12.485;0;0;0;0;0;266;P01986391;Martin, M.A.;Martin, M.A.
Pierre, L;1797;Kessler, P;01/11/2003 - 30/11/2003;01/09/1867 - 30/09/1867;Đồng Nai;ad Gia lau mé in prov. Bien Hoa.;P01986392;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;9;1867;1;11;2003;0;0;0;107.3167;10.9667;0;0;0;0;0;1797;P01986392;Pierre, L.;Kessler, P.
Pierre, L;596;Kessler, P;09/09/1985 - 09/09/1985;01/07/1877 - 31/07/1877;Đồng Nai;Ad Bao Chang in prov. Bien Hoa, Cochinchinae;P01986393;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;7;1877;9;9;1985;0;0;0;107.31666666666666;10.966666666666667;0;0;0;0;0;596;P01986393;Pierre, L.;Kessler, P.
Pierre, L;1797;Kessler, P;01/11/2003 - 30/11/2003;01/09/1867 - 30/09/1867;Đồng Nai;ad Gia lau mé in prov. Bien Hoa.;P01986394;Viet Nam;Cananga;latifolia;0;0;0;0;;;1;9;1867;1;11;2003;0;0;0;107.3167;10.9667;0;0;0;0;0;1797;P01986394;Pierre, L.;Kessler, P.
Poilane, E;14268;nan;<NA>;20/10/1927 - 20/10/1927;Banteay Meanchey;Cambodge : Svaichek pr: Battambang;P01986395;Cambodge;Artabotrys;intermedius;0;0;0;0;;;20;10;1927;;;;0;0;0;102.967;13.8;0;0;0;0;0;14268;P01986395;Poilane, E.;<NA>
Poilane, E;14268;nan;<NA>;20/10/1927 - 20/10/1927;Banteay Meanchey;Cambodge : Svaichek pr: Battambang;P01986396;Cambodge;Artabotrys;intermedius;0;0;0;0;;;20;10;1927;;;;0;0;0;102.967;13.8;0;0;0;0;0;14268;P01986396;Poilane, E.;<NA>
Poilane;14849;nan;<NA>;26/02/1928 - 26/02/1928;Kampong Thom;Cambodge : entre Tabeng et Pra-Prassap pro: Kg. Thom;P01986397;Cambodge;Artabotrys;intermedius;0;0;0;0;;;26;2;1928;;;;0;0;0;105.012;12.614;0;0;0;0;0;14849;P01986397;Poilane;<NA>
Poilane;14849;nan;<NA>;26/02/1928 - 26/02/1928;Kampong Thom;Cambodge : entre Tabeng et Pra-Prassap pro: Kg. Thom;P01986398;Cambodge;Artabotrys;intermedius;0;0;0;0;;;26;2;1928;;;;0;0;0;105.012;12.614;0;0;0;0;0;14849;P01986398;Poilane;<NA>
Poilane, E;17435;nan;<NA>;02/06/1930 - 02/06/1930;Kampong Speu;Cambodge : Kil 15 de la route de Kg. Speu a Srê Umbel;P01986399;Cambodge;Artabotrys;intermedius;0;0;0;0;;;2;6;1930;;;;0;0;0;104.422;11.4146;0;0;0;0;0;17435;P01986399;Poilane, E.;<NA>
Thomson, G;;nan;<NA>;<NA>;Tamil Nadu;Ind. Or. Madras (Cult). Regio. tropica;P01988665;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;80.270186;13.0836939;0;0;0;0;0;nan;P01988665;Thomson, G.;<NA>
Hooker, JD;;nan;<NA>;<NA>;Tamil Nadu;Inde. Cult. Madras.;P01988666;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;80.270186;13.0836939;0;0;0;0;0;nan;P01988666;Hooker, J.D.;<NA>
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcutta;P01988667;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.2911111111111;22.55666666666667;0;0;0;0;0;nan;P01988667;Anderson;<NA>
Griffith;410;nan;<NA>;<NA>;;East Bengal.;P01988668;Bangladesh;Polyalthia;longifolia;0;0;0;0;;;;;;;;;0;0;0;;;0;0;0;0;0;410;P01988668;Griffith;<NA>
Stocks;;nan;<NA>;<NA>;;Ind. Or. Malabar Concan etc. Regio Trop;P01988669;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;0;0;0;nan;P01988669;Stocks;<NA>
Perrottet;;Thomas, L;01/01/1969 - 31/12/1969;<NA>;;<NA>;P01988670;<NA>;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;;;;1;1;1969;0;0;0;;;0;0;0;0;0;nan;P01988670;Perrottet;Le Thomas
Thwaites;1041;Rogstad, SH;01/10/1989 - 31/10/1989;<NA>;;Ceylan;P01988671;Sri Lanka;Polyalthia;longifolia;0;0;0;0;;;;;;1;10;1989;0;0;0;;;0;0;0;0;0;1041;P01988671;Thwaites;Rogstad, S.H.
Jacquemont, V;318;nan;<NA>;16/06/1832 - 15/09/1832;Maharashtra;Pouna (Poonah) Dekkan.;P01988675;Inde;Polyalthia;longifolia;0;0;0;0;;;16;6;1832;;;;0;0;0;73.8544541;18.521428;0;0;0;0;0;318;P01988675;Jacquemont, V.;<NA>
Jacquemont, V;318;nan;<NA>;<NA>;Maharashtra;Poonah, Dekkan. Indes orient.;P01988676;Inde;Polyalthia;longifolia;0;0;0;0;;;;;;;;;0;0;0;73.8544541;18.521428;0;0;0;0;0;318;P01988676;Jacquemont, V.;<NA>
Jacquemont, V;318;nan;<NA>;<NA>;Maharashtra;Poonah, Dekkan. Indes orient.;P01988677;Inde;Polyalthia;longifolia;0;0;0;0;;;;;;;;;0;0;0;73.8544541;18.521428;0;0;0;0;0;318;P01988677;Jacquemont, V.;<NA>
Perrottet;20;nan;<NA>;<NA>;Tamil Nadu;Nilgherris;P01988678;Inde;Polyalthia;longifolia;0;0;0;0;;;;;;;;;0;0;0;76.513;11.253;0;0;0;0;0;20;P01988678;Perrottet;<NA>
Wallich;6437;nan;<NA>;<NA>;West Bengal;India. Hort. Bot. Calcut.;P01988679;Inde;Polyalthia;suberosa;0;0;0;0;;;;;;;;;0;0;0;88.288;22.558;0;0;0;0;0;6437;P01988679;Wallich;<NA>
Wallich;410;nan;<NA>;01/01/1837 - 31/12/1837;West Bengal;Jardin Bot. de Calcutta;P01988680;Inde;Polyalthia;suberosa;0;0;0;0;;;1;1;1837;;;;0;0;0;88.288;22.558;0;0;0;0;0;410;P01988680;Wallich;<NA>
Wallich;410;nan;<NA>;01/01/1837 - 31/12/1837;West Bengal;Jardin Calcutta;P01988681;Inde;Polyalthia;suberosa;0;0;0;0;;;1;1;1837;;;;0;0;0;88.288;22.558;0;0;0;0;0;410;P01988681;Wallich;<NA>
Wallich;6431;nan;<NA>;<NA>;;<NA>;P01988682;<NA>;Polyalthia;suberosa;0;0;0;0;;;;;;;;;0;0;0;;;0;0;0;0;0;6431;P01988682;Wallich;<NA>
Wallich;522;nan;<NA>;01/01/1837 - 31/12/1837;West Bengal;Calcutta (Jardin Bot.);P01988683;Inde;Polyalthia;suberosa;0;0;0;0;;;1;1;1837;;;;0;0;0;88.288;22.558;0;0;0;0;0;522;P01988683;Wallich;<NA>
Wallich;6437;nan;<NA>;<NA>;;<NA>;P01988684;<NA>;Polyalthia;suberosa;0;0;0;0;;;;;;;;;0;0;0;;;0;0;0;0;0;6437;P01988684;Wallich;<NA>
Wallich;;nan;<NA>;01/01/1832 - 31/12/1832;Sylhet;Inde Sillet;P01988685;Bangladesh;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;1;1;1832;;;;0;0;0;91.8685271;24.89922;0;0;0;0;0;nan;P01988685;Wallich;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P01988688;Inde;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.41;0;0;0;0;0;nan;P01988688;Jenkins;<NA>
Chatterjee, AC;;nan;<NA>;01/05/1902 - 31/05/1902;Assam;Assam;P01988689;Inde;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;1;5;1902;;;;0;0;0;93.3;26.4;0;0;0;0;0;nan;P01988689;Chatterjee, A.C.;<NA>
Wight;36;nan;<NA>;<NA>;;Peninsula Ind. orientalis.;P01988690;<NA>;Polyalthia;suberosa;0;0;0;0;;;;;;;;;0;0;0;;;0;0;0;0;0;36;P01988690;Wight;<NA>
Wallich;;nan;<NA>;<NA>;West Bengal;H.B.C.;P01988691;Inde;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;88.28887939453126;22.55843718237271;0;0;0;0;0;nan;P01988691;Wallich;<NA>
Wight;36;nan;<NA>;<NA>;;Peninsula Ind. orientalis.;P01988693;Inde;Polyalthia;suberosa;0;0;0;0;;;;;;;;;0;0;0;;;0;0;0;0;0;36;P01988693;Wight;<NA>
Jenkins;;nan;<NA>;<NA>;Assam;Assam.;P01988694;Inde;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;93.25;26.41;0;0;0;0;0;nan;P01988694;Jenkins;<NA>
Hooker, W;;nan;<NA>;<NA>;;Inde (Bengale);P01988695;<NA>;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;0;0;0;nan;P01988695;Hooker, W.;<NA>
Hooker, JD;;nan;<NA>;<NA>;;Ind. Or. Bengal. Regio tropica;P01988696;<NA>;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;0;0;0;nan;P01988696;Hooker, J.D.;<NA>
Griffith;;nan;<NA>;<NA>;;Bengal;P01988697;<NA>;Polyalthia;suberosa;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;0;0;0;nan;P01988697;Griffith;<NA>
Harmand;270;nan;<NA>;01/01/1876 - 31/01/1876;Preah Vihear;Mulu Prey;P02133087;Cambodge;Mitrephora;thorelii;0;0;0;0;;;1;1;1876;;;;0;0;0;105.276;13.8096;0;0;0;0;0;270;P02133087;Harmand;<NA>
Harmand;649;Pierre, L;<NA>;01/01/1876 - 31/01/1876;Preah Vihear;in montibus provinciae Mulu Prey in Cambodia;P02133088;Cambodge;Mitrephora;thorelii;0;0;0;0;;;1;1;1876;;;;0;0;0;105.276;13.8096;0;0;0;0;0;649;P02133088;Harmand;Pierre, L.
Poilane;40793;nan;<NA>;22/05/1919 - 22/05/1919;Đồng Nai;Cochinchine :Giaray pr/ce de Biênhoa;P02133089;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;22;5;1919;;;;0;0;0;107.4017;10.926;0;0;0;0;0;40793;P02133089;Poilane;<NA>
Poilane;40793;nan;<NA>;22/05/1919 - 22/05/1919;Đồng Nai;Cochinchine : Gia-ray, pro: Bien-hoa;P02133090;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;22;5;1919;;;;0;0;0;107.4017;10.926;0;0;0;0;0;40793;P02133090;Poilane;<NA>
Poilane, E;17965;nan;<NA>;09/08/1930 - 09/08/1930;Gia Lai;Annam : An Khê pr: Qui Nhon. 350 m alt.;P02133091;Viet Nam;Mitrephora;thorelii;0;0;0;0;;;9;8;1930;;;;0;0;0;108.6605;13.951;0;0;0;0;0;17965;P02133091;Poilane, E.;<NA>
Lau, SK;3464;Merrill, ED;<NA>;18/03/1934 - 18/03/1934;Hainan(海南);Hainan. Chim Fung Ling near Sam Mo Watt village (Kan-en District);P02133092;Chine;Mitrephora;thorelii;0;0;0;0;;;18;3;1934;;;;0;0;0;108.83;18.707;0;0;0;0;0;3464;P02133092;Lau, S.K.;Merrill, E.D.
Liang, HY;66202;nan;<NA>;14/12/1933 - 14/12/1933;Hainan(海南);Hainan;P02133093;Chine;Mitrephora;thorelii;0;0;0;0;;;14;12;1933;;;;0;0;0;;;0;0;0;0;0;66202;P02133093;Liang, H.Y.;<NA>
Liang, HY;63659;nan;<NA>;08/11/1933 - 08/11/1933;Hainan(海南);Hainan : scandent? in shaded forests along stream side;P02133094;Chine;Mitrephora;thorelii;0;0;0;0;;;8;11;1933;;;;0;0;0;109.6;19.2;0;0;0;0;0;63659;P02133094;Liang, H.Y.;<NA>
Ko, SP;52171;nan;<NA>;24/04/1932 - 24/04/1932;Hainan(海南);Hainan. Poting, Ling shui;P02133095;Chine;Mitrephora;thorelii;0;0;0;0;;;24;4;1932;;;;0;0;0;110.034;18.5036;0;0;0;0;0;52171;P02133095;Ko, S.P.;<NA>
How, FC;72286;nan;<NA>;01/05/1935 - 31/05/1935;Hainan(海南);Hainan. Lokwui.;P02133096;Chine;Mitrephora;thorelii;0;0;0;0;;;1;5;1935;;;;0;0;0;110.4697;19.259;0;0;0;0;0;72286;P02133096;How, F.C.;<NA>
Lau, SK;3230;Merrill, ED;<NA>;28/01/1934 - 28/01/1934;Hainan(海南);Hainan. Ue Lung Shan (Ch'ang-kiang District);P02133097;Chine;Mitrephora;thorelii;0;0;0;0;;;28;1;1934;;;;0;0;0;108.988;19.279;0;0;0;0;0;3230;P02133097;Lau, S.K.;Merrill, E.D.
Lau, SK;1311;Merrill, ED;<NA>;13/03/1933 - 13/03/1933;Hainan(海南);Hainan. Tai Tin Shan (Ch'ang-kiang District);P02133098;Chine;Mitrephora;thorelii;0;0;0;0;;;13;3;1933;;;;0;0;0;108.988;19.279;0;0;0;0;0;1311;P02133098;Lau, S.K.;Merrill, E.D.
Lau, SK;244;Merrill, ED;<NA>;12/07/1932 - 12/07/1932;Hainan(海南);Hainan. Naam Shan Leng, (Ngai District);P02133099;Chine;Mitrephora;thorelii;0;0;0;0;;;12;7;1932;;;;0;0;0;109.171;18.31;0;0;0;0;0;244;P02133099;Lau, S.K.;Merrill, E.D.
Kadir;;Kessler, P;01/05/2004 - 31/05/2004;19/03/1949 - 19/03/1949;Sabah;British North Borneo. Compartment 6. Sepilok;P02133169;Malaisie;Pseuduvaria;sp.;0;0;0;0;<NA>;<NA>;19;3;1949;1;5;2004;0;0;0;117.9496;5.876;0;0;0;0;0;nan;P02133169;Kadir;Kessler, P.
Hou, XL;8101401;Hou, XL;01/03/2011 - 01/03/2011;14/10/2008 - 14/10/2008;Yunnan(云南);Yunnan. Yingjiang, Nabang, Rongshuwang. Alt. 960 m;P02273334;Chine;Pheaanthus;yingjiangensis;0;0;0;0;;;14;10;2008;1;3;2011;0;0;0;97.603;24.665;0;0;0;0;0;8101401;P02273334;Hou, X.L.;Hou, X.L.
Pierre, L;607;nan;<NA>;01/05/1870 - 31/05/1870;Kampong Speu;apice montis Knangue Reheu (prov. Tpong Cambodia);P03300236;Cambodge;Goniothalamus;repevensis;0;0;0;0;;;1;5;1870;;;;0;0;0;103.849;11.616;0;0;0;0;0;607;P03300236;Pierre, L.;<NA>
Poilane, E;20637;nan;<NA>;02/04/1932 - 02/04/1932;Louangphabang;Laos : M. Ngoi pro: Luang Prabang. 450 m alt.;P03300513;Laos, République démocratique populaire;<NA>;indet.;0;0;0;0;;;2;4;1932;;;;0;0;0;102.6746;20.7087;0;0;0;0;0;20637;P03300513;Poilane, E.;<NA>
Marche, A;322;nan;<NA>;01/07/1884 - 31/07/1884;Palawan;Malbato. Ile Busuanga. Philippines;P04180329;Philippines;Xanthophyllum;sp.;0;0;0;0;;;1;7;1884;;;;0;0;0;120.1175;12.029;0;0;0;0;0;322;P04180329;Marche, A.;<NA>
Marche, A;322;nan;<NA>;01/07/1884 - 31/07/1884;Palawan;Malbato. Ile Busuanga. Philippines;P04180330;Philippines;Xanthophyllum;sp.;0;0;0;0;;;1;7;1884;;;;0;0;0;120.1175;12.029;0;0;0;0;0;322;P04180330;Marche, A.;<NA>
Alleizette;292;nan;<NA>;01/02/1909 - 28/02/1909;Hà Nội;Hanoï. Tonkin;P04447058;Viet Nam;<NA>;indet.;0;0;0;0;;;1;2;1909;;;;0;0;0;105.8544441;21.0294498;0;0;0;0;0;292;P04447058;Alleizette;<NA>
Forbes, HO;1300;nan;<NA>;01/01/1880 - 31/12/1882;East Java;South East Java;P04447377;Indonésie;<NA>;indet.;0;0;0;0;;;1;1;1880;;;;0;0;0;;;0;0;0;0;0;1300;P04447377;Forbes, H.O.;<NA>
Forbes;;nan;<NA>;<NA>;;Archipel Malais;P04447378;<NA>;<NA>;indet.;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;0;0;0;nan;P04447378;Forbes;<NA>
Spire;;nan;<NA>;<NA>;;Laos (Indo-Chine);P04447469;Laos, République démocratique populaire;<NA>;indet.;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;0;0;0;nan;P04447469;Spire;<NA>
Spire;368;nan;<NA>;<NA>;;Laos (Indo-Chine);P04447473;Laos, République démocratique populaire;<NA>;indet.;0;0;0;0;;;;;;;;;0;0;0;;;0;0;0;0;0;368;P04447473;Spire;<NA>
Spire;368;nan;<NA>;<NA>;Xiangkhouang;Laos. Xieng Kouang;P04447474;Laos, République démocratique populaire;<NA>;indet.;0;0;0;0;;;;;;;;;0;0;0;103.372;19.327;0;0;0;0;0;368;P04447474;Spire;<NA>
Pierre, L;616;nan;<NA>;01/05/1870 - 31/05/1870;Kampong Speu;in montibus Knang Repoeu alt. 400 - 800 met (prov. Tpong. Cambodia);P04447733;Cambodge;Sageraea;elliptica;0;0;0;0;;;1;5;1870;;;;0;0;0;103.849;11.616;0;0;0;0;0;616;P04447733;Pierre, L.;<NA>
Pierre, L;607;nan;<NA>;01/05/1870 - 31/05/1870;Kampong Speu;apice montis Knangue Reheu, prov Tpong Cambodia;P04447735;Cambodge;Goniothalamus;repevensis;0;0;0;0;;;1;5;1870;;;;0;0;0;103.849;11.616;0;0;0;0;0;607;P04447735;Pierre, L.;<NA>
Winkler, H;2103;nan;<NA>;18/05/1908 - 18/05/1908;South Kalimantan;S.-O. Borneo. Hayoep.;P04447767;Indonésie;<NA>;indet.;0;0;0;0;;;18;5;1908;;;;0;0;0;115.5238;-1.9778;0;0;0;0;0;2103;P04447767;Winkler, H.;<NA>
Pierre, L;600;Pierre, L;<NA>;01/05/1870 - 31/05/1870;Kampot;In montibus Tamire (Cambodia). alt. 1200 mt;P04449321;Cambodge;Popowia;sp.;0;0;0;0;;;1;5;1870;;;;0;0;0;104.0109;10.70477;0;0;0;0;0;600;P04449321;Pierre, L.;Pierre, L.
